id,title,year,rating,votes,language,genres,runtime,runtime_minutes,director,cast,overview,poster,backdrop,trailerId,budget_crores,revenue_crores,popularity,imdb_id
15916,Bhaagamathie,2018,7.0,3324,Tamil,"Action, Horror, Thriller",2h 18m,138,Ashok G.,"Jayaram, Anushka Shetty, Surekha Vani, Unni Mukundan, Murli Sharma, Asha Sharath","IAS officer Chanchala Reddy is imprisoned in a haunted house, while she is interrogated by law enforcers investigating a politician they suspect of corruption.",https://m.media-amazon.com/images/M/MV5BMWRhNTU1MTItNjk4Ni00ZWJjLTk2ZGYtZTVkOWMwZjQzMDc3XkEyXkFqcGdeQXVyMTEzNzg0Mjkx.jpg,https://images.unsplash.com/photo-1536440136628-849c177e76a1?w=1400&h=600&fit=crop&auto=format,Aahj3atxdS4,0.0,0.0,21.7,6727296
15917,Sarkar,2005,7.6,17414,Tamil,"Action, Crime, Drama",2h 04m,124,Ram Gopal Varma,"Amitabh Bachchan, Abhishek Bachchan, Kay Kay Menon, Supriya Pathak, Katrina Kaif, Tanishaa Mukerji","Subhash Nagre runs a parallel government in the city where he has a cult following. When his enemies plot to murder him, his son takes charge and stands up against them.",https://m.media-amazon.com/images/M/MV5BZTYwNGU2YzQtMDRjNS00MjlmLTk1MDEtMjBmYWQ3ZjY0NWRjXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@.jpg,https://images.unsplash.com/photo-1536440136628-849c177e76a1?w=1400&h=600&fit=crop&auto=format,x2k-IxVHApQ,0.0,0.0,26.3,432047
15918,Vada Chennai,2018,8.1,19574,Tamil,"Action, Crime, Drama, Thriller",2h 44m,164,Vetrimaaran,"Dhanush, Andrea Jeremiah, Ameer, Aishwarya Rajesh, Samuthirakani","Anbu, a young carrom player in North Chennai becomes inadvertently involved in an ongoing conflict between two local gangsters.",https://m.media-amazon.com/images/M/MV5BZjhkYTU2YTgtM2ZkYS00MzJkLWE2ZjAtZjY5MTI4OWE2YmZjXkEyXkFqcGdeQXVyODIwMDI1NjM@.jpg,https://images.unsplash.com/photo-1536440136628-849c177e76a1?w=1400&h=600&fit=crop&auto=format,xEIh1awGwNs,0.0,0.0,1.84,5959980
15919,Onaaigal Jakkiradhai,2018,2.1,15,Tamil,"Drama, Horror",2h 05m,125,Jpr,"Kabali Vishwanth, Riythvika, Baby Amrutha, Vijay Krishnaraj, A. Venkatesh","A ragtag gang of four have their problems in life and each of them needs money. One needs it for his father's surgery, another to close a loan he borrowed from an usurer, the third for his daughter's future and the final member to ensure that the lie of him being a rich businessman lives on.",https://m.media-amazon.com/images/M/MV5BYjBhNzRmZDgtMWExYi00NDc3LWJlOWMtZjRhNGQ1OTI4MTY3XkEyXkFqcGdeQXVyMzYxOTQ3MDg@.jpg,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=1400&h=600&fit=crop&auto=format,UULrSwEC0QU,0.0,0.0,1.21,7822622
15920,Chekka Chivantha Vaanam,2018,6.8,6853,Tamil,"Action, Crime, Drama, Thriller",2h 26m,146,Mani Ratnam,"Arvind Swamy, Vijay Sethupathi, Arun Vijay, Silambarasan, Jyothika",A bloody power struggle erupts between three brothers who are vying to take over the family business following the death of their father.,https://m.media-amazon.com/images/M/MV5BNDFmNmU1MjctMGIwNy00NTcyLWFhOTMtM2JhMTBkNWU2OGU1XkEyXkFqcGdeQXVyMTEzNzg0Mjkx.jpg,https://images.unsplash.com/photo-1536440136628-849c177e76a1?w=1400&h=600&fit=crop&auto=format,x2q5w-ThJeE,0.0,0.0,0.92,7892050
15921,Mannar Vagaiyara,2018,5.1,160,Tamil,"Action, Comedy, Romance",2h 40m,160,Boopathy Pandian,"Vimal, Prabhu, Anandhi, Saranya Ponvannan, Chandhini Tamilarasan",Madhiyazhagan Mooriyar and his brother is in love with girls who are sisters and also belongs to antagonist family. This story is all about how Madhiyazhagan Mooriyar is succeeding against all the odds.,https://m.media-amazon.com/images/M/MV5BZmUzM2ZjODQtMmNiNS00OWJhLWEzNGUtMzg1YzAxZDY3MWRjXkEyXkFqcGdeQXVyMzYxOTQ3MDg@.jpg,https://images.unsplash.com/photo-1536440136628-849c177e76a1?w=1400&h=600&fit=crop&auto=format,14AhK7y40gU,0.0,0.0,2.0,7943580
15922,Kadaikutty Singam,2018,6.7,2890,Tamil,"Action, Drama, Romance, Comedy, Family",2h 29m,149,Pandiraj,"Karthi, Sayesha Saigal, Sathyaraj, Priya Bhavani Shankar, Arthana Binu","Gunasingam, a family-loving farmer who hails from a small town, tries his best to keep his big family united despite him being misunderstood by many.",https://m.media-amazon.com/images/M/MV5BNWVhYjc1MmItY2NlZi00ZjZmLWJkZjEtZDg3NzMzYTc5OGM1XkEyXkFqcGdeQXVyMTEzNzg0Mjkx.jpg,https://images.unsplash.com/photo-1536440136628-849c177e76a1?w=1400&h=600&fit=crop&auto=format,v5YO-Zred7w,0.0,0.0,1.05,8023734
15923,96,2018,8.1,36818,Tamil,"Drama, Romance",2h 38m,158,C. Prem Kumar,"Vijay Sethupathi, Trisha Krishnan, Aditya Baskar, Gouri G Kishan, Devadarshini","Ram is a photographer and nature lover who travels all around India capturing moments. On a chance visit to his hometown Tanjavur, he goes into his school and begins to walk down memory lane to 1994 when he was a student harboring feelings for his classmate Janu.",https://m.media-amazon.com/images/M/MV5BOGM2YzI4ZjItYjA4Mi00ZDhiLTk1OGEtZmEzN2U3ODNkNTEzXkEyXkFqcGdeQXVyMTEzNzg0Mjkx.jpg,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=1400&h=600&fit=crop&auto=format,r0synl-lI4I,0.0,0.0,1.54,7019842
15924,Thaanaa Serndha Koottam,2018,6.0,6350,Tamil,"Action, Comedy, Crime",2h 18m,138,Vignesh Shivan,"Suriya, Keerthy Suresh, Ramya Krishnan, Senthil, Karthik Muthuraman","Angered by the corruption that stopped him from becoming a CBI officer, a young man forms a gang who pose as CBI officers and raids the corrupt.",https://m.media-amazon.com/images/M/MV5BNzE2YmZkNDktZDAwNy00NGZhLTlkMzEtMjdhYTQ3ZjM1MmE0XkEyXkFqcGdeQXVyODIwMDI1NjM@.jpg,https://images.unsplash.com/photo-1536440136628-849c177e76a1?w=1400&h=600&fit=crop&auto=format,hYM_iZII4U4,0.0,0.0,1.08,6237966
15925,Sketch,2018,7.0,10,Tamil,"Short, Comedy, Action",2h 00m,120,Peter Lee Scott,"Vikram, Tamannaah Bhatia, Soori, Sriman, Sri Priyanka","It's an average day in an unassuming courtroom in 1979 when Anne, a courtroom illustrator, gets her world gets turned upside-down as the love of her life, Simon (a convict), enters the room and she plunges into a world of her wildest dreams.",https://m.media-amazon.com/images/M/MV5BZTc4NjMxNDktZjg4My00NjA4LWFmMTItNmVkZmJjNGUyNzIzXkEyXkFqcGdeQXVyMzM0NTY5NjI@.jpg,https://images.unsplash.com/photo-1536440136628-849c177e76a1?w=1400&h=600&fit=crop&auto=format,ddRyInAwFl0,0.0,0.0,0.9,7405480
