Movie_ID,Title,Overview,Overview_WordCount,Genres,Director,Cast,Production_Company,Release_Date,Release_Year,Release_Month,Release_DayOfWeek,Runtime_Minutes,Budget_Local_Currency,Revenue_Local_Currency,Budget_Crores,Revenue_Crores,Profit_Local_Currency,ROI_Percent,Popularity_Score,Vote_Average,Vote_Count
1235877,Jana Nayagan,"A clash of ideologies. One stands for the people, the other feeds on control. Their paths collided once before. Years later, a child’s silent fear ignites the past, drawing a former police officer into a battle far bigger than personal revenge.",41,"Action, Drama",H. Vinoth,"Vijay, Pooja Hegde, Bobby Deol, Mamitha Baiju, Priyamani",KVN Productions,22-07-2026,2026,7,Wednesday,183,0,0,0,0,0,0,33.6214,5.5,10
1509599,Gatta Kusthi 2,"Picks up after the first film, with Veera and Keerthi balancing parenthood and Keerthi's wrestling career, featuring a role reversal where Veera takes on more domestic responsibilities.",27,"Comedy, Drama",Chella Ayyavu,"Vishnu Vishal, Aishwarya Lekshmi, Zara Zyanna, Karunas, Munishkanth",Vels Film International,03-07-2026,2026,7,Friday,153,0,0,0,0,0,0,27.6505,3.625,4
1432631,Idhayam Murali,"A young man navigates the complexities of unrequited love, finding that even as years pass and life takes unexpected turns, certain emotions remain deeply embedded in his heart.",28,"Romance, Comedy, Drama",Aakash Baskaran,"Atharvaa Murali, Fahadh Faasil, Preity Mukhundhan, Kayadu Lohar, Natarajan Subramaniam",Dawn Pictures,10-07-2026,2026,7,Friday,164,0,0,0,0,0,0,21.8,7.7,3
921711,Tamil Rockers,4 Major characters running for the Money facing more challenges by forgetting the fact that it's not the decision of money to reach human.,24,"Comedy, Thriller",Barani Jayapal,"Premji Amaran, Meenakshi Dixit, VTV Ganesh, S.P.B. Charan, Devadarshini",Jaswanth Super Cinemas,31-12-2021,2021,12,Friday,98,0,0,0,0,0,0,16.4506,4.75,4
1367220,Karuppu,"In a world where justice falters, guardian deity Vettai Karuppu takes the guise of a lawyer to battle a corrupt legal system preying on the powerless.",26,"Action, Fantasy",RJ Balaji,"Suriya, Trisha Krishnan, RJ Balaji, Indrans, Anagha Maya Ravi",Dream Warrior Pictures,14-05-2026,2026,5,Thursday,152,1336000000,279314096.5,133.6,27.93,-1056685904,-79.09,12.5282,6.7,23
1408162,Vishwanath & Sons,"Sanjay Vishwanath is an acclaimed professional handgunner in his 40s with a major stake in fame and wealth. When he comes across a woman named Maddy in her 20s, their dynamic poses many issues that they must come to terms with.",41,"Family, Drama, Romance",Venky Atluri,"Suriya, Mamitha Baiju, Radhika Sarathkumar, Raveena Tandon, Anil Kapoor",Sithara Entertainments,14-08-2026,2026,8,Friday,0,0,0,0,0,0,0,14.0608,0,0
1479832,DC,Rebel Devadas joins forces with Chandra in a dangerous world where passion and peril collide. Their turbulent alliance demands bloodshed and tests loyalties as survival becomes the ultimate stake in their fight.,32,"Romance, Action, Drama",Arun Matheswaran,"Lokesh Kanagaraj, Wamiqa Gabbi, Sanjana Krishnamoorthy, Sharath Ravi, Kobisan Chandrakumar",Sun Pictures,07-08-2026,2026,8,Friday,141,0,0,0,0,0,0,12.6931,0,0
1515729,Blast,A seemingly ordinary family must unleash their hidden martial arts skills when they clash with a ruthless criminal gang tied to corruption and violence.,24,"Action, Thriller",Subash K Raj,"Arjun Sarja, Abhirami, Preity Mukhundhan, Vivek Prasanna, John Kokken",AGS Entertainment,28-05-2026,2026,5,Thursday,143,0,0,0,0,0,0,12.6937,6.864,33
1324842,Lucky the Superstar,"A stray puppy's adventure transforms lives: helping a child heal, bringing a family together, and causing political mayhem while finding her way home.",23,"Drama, Comedy",Udhayabanu Mageswaran,"G. V. Prakash Kumar, Anaswara Rajan, Meghna Sumesh, Subbu Panchu, Devadarshini",Kavithalayaa Productions,20-02-2026,2026,2,Friday,123,0,0,0,0,0,0,6.218,2.3,3
1433117,Kara,"A thief tries to go straight, but when predatory banks trap his father in debt, he returns to crime — with a determined cop closing in on his trail.",29,"Crime, Drama, Thriller, Action",Vignesh Raja,"Dhanush, Mamitha Baiju, K. S. Ravikumar, Suraj Venjaramoodu, Karunas",Vels Film International,30-04-2026,2026,4,Thursday,161,0,0,0,0,0,0,6.7149,5.833,27
987642,Arulmozhi,A private investigator accidently becomes a vigilante as he tries to save his friend and his family who are abducted by a dangerous militant group that is going to release a chemical bomb.,33,"Action, Drama",Manan Subra,"Sangabalan Subramaniam, Alvin Martin, Vikadakavi Magen, Pashini Sivakumar, Vidia Liana",Jaysanga Sir Sdn Bhd,16-06-2022,2022,6,Thursday,120,0,0,0,0,0,0,5.5072,0,0
611377,Azhaggiye Thee,,0,"Drama, Romance",Logan,Saresh D'seven,AT Movies,27-06-2019,2019,6,Thursday,150,0,0,0,0,0,0,4.728,6,1
1602337,Parimala and Co,"A dark comedy centered around a chaotic family whose tangled relationships and unpredictable situations lead to emotionally charged and absurd moments, blending humor with underlying tension and drama.",28,"Crime, Comedy, Mystery, Thriller",Pandiraj,"Jayaram, Urvashi, Sanjana Krishnamoorthy, Ananthika Sanilkumar, Mysskin",Lyca Productions,05-06-2026,2026,6,Friday,138,0,0,0,0,0,0,4.8635,6.25,4
417709,Geethaiyin Raadhai,"A romantic Indian comedy that tells the story of a girl who finds the hero of her life and the two of them eventually fall in love with each other. However, they must also work together to overcome the hardship in their journey of love.",45,"Romance, Comedy",Shalini Balasundaram,"Karnan GCrak, Shalini Balasundaram, Vicran Elanggoven, Suvarna Panjavaranam, Kannan Raajamanickam",Vikadakavi Production,22-09-2016,2016,9,Thursday,135,0,0,0,0,0,0,4.4647,0,0
1126723,Mr. X,Centers on secret intelligence agency cases involving five major national threats that were thwarted through covert operations.,17,"Action, Thriller",Manu Anand,"Arya, Gautham Ram Karthik, Manju Warrier, R. Sarathkumar, Anagha",Prince Pictures,17-04-2026,2026,4,Friday,153,0,0,0,0,0,0,5.0485,5.5,4
1565790,Double Occupancy,"Rajini transforms between woman by day and man by night, hiding this gender swap from partners creating tangled complications.",19,"Romance, Drama, Fantasy",Aswin Kandasamy,"Santhosh Sreeram, Reshma Venkatesh, Samyuktha Viola Viswanathan, Vinoth Kishan, VTV Ganesh",Avni Cinemax,12-06-2026,2026,6,Friday,132,0,0,0,0,0,0,4.1909,6,1
