movie_id,title,imdb_id,overview,genres,director,cast,language,year,rating,votes,runtime_minutes,poster,backdrop,trailer,popularity,budget_crores,revenue_crores,production_company,release_date,source
,0.776724537,,"0.776724537 is an engaging Drama featuring compelling characters, intense narratives, and captivating storytelling.",Drama,K. Ganeshan,Subash Chandra Bose,Tamil,0,,,,,,,,,,,,dataset_3_tamil
527688,0.776724537,,,Drama,K. Ganeshan,Subash Chandra Bose,,2018,0.0,0.0,130.0,,,,1.2322,0.0,0.0,Unknown,18-05-2018,dataset_4
,1 A.M,,"A horror thriller film directed by Rahul, starring Mohan and Sasvatha in the lead roles.",Horror,Rahul Paramahamsa,"T. Mohan, Sasvatha",Tamil,0,,,,,,,,,,,,dataset_3_tamil
573347,1 A.M,,"A horror thriller film directed by Rahul, starring Mohan and Sasvatha in the lead roles.",Horror,Rahul Paramahamsa,"T. Mohan, Sasvatha",,2017,5.0,1.0,95.0,,,,0.3013,0.0,0.0,Unknown,24-03-2017,dataset_4
,10 Endrathukulla,,"A driving instructor is tasked with taking Shakila, an orphan, from Chennai to Mussoorie. However, he falls in love with Shakila and tries to save her when he learns the truth about his task.","Action, Romance",S. D. Vijay Milton,"Vikram, Samantha Ruth Prabhu, Pasupathy, Abhimanyu Singh, Manobala",Tamil,0,,,,,,,,,,,,dataset_3_tamil
330414,10 Endrathukulla,,"A driving instructor is tasked with taking Shakila, an orphan, from Chennai to Mussoorie. However, he falls in love with Shakila and tries to save her when he learns the truth about his task.","Action, Romance",S. D. Vijay Milton,"Vikram, Samantha Ruth Prabhu, Pasupathy, Abhimanyu Singh, Manobala",,2015,4.5,23.0,144.0,,,,2.1721,0.0,0.0,A.R.Murugadoss Productions,21-10-2015,dataset_4
,100,,"A young cop, who works in a police control room, tries to solve the mysterious case of a kidnapped girl.",Action,Sam Anton,"Atharvaa Murali, Hansika Motwani, Yogi Babu, Radha Ravi, Saravanan",Tamil,0,,,,,,,,,,,,dataset_3_tamil
534963,100,,"A young cop, who works in a police control room, tries to solve the mysterious case of a kidnapped girl.",Action,Sam Anton,"Atharvaa Murali, Hansika Motwani, Yogi Babu, Radha Ravi, Saravanan",,2019,6.545,22.0,141.0,,,,0.8408,0.0,0.0,Auraa Cinemas,10-05-2019,dataset_4
,100% Kaadhal,,"Balu and Mahalakshmi fall for each other but separate due to ego problems. Years later, when their grandmother falls ill, they are forced to confront each other resulting in chaos for both their families.","Drama, Romance, Family",M. M. Chandramouli,"G. V. Prakash Kumar, Shalini Pandey, Nassar, Jayachitra, Rekha",Tamil,0,,,,,,,,,,,,dataset_3_tamil
480852,100% Kaadhal,,"Balu and Mahalakshmi fall for each other but separate due to ego problems. Years later, when their grandmother falls ill, they are forced to confront each other resulting in chaos for both their families.","Drama, Romance, Family",M. M. Chandramouli,"G. V. Prakash Kumar, Shalini Pandey, Nassar, Jayachitra, Rekha",,2019,5.3,3.0,151.0,,,,1.4885,0.0,0.0,Creation Cinemas NY,04-10-2019,dataset_4
,100% Kadhal,,"The guy and his cousin fall for each other but separate due to ego clashes. Years later, when their grandmother falls ill, they are forced to confront each other.","Comedy, Drama, Romance",M.M. Chandramouli,"G.V. Prakash Kumar, Shalini Pandey, Nassar, Thambi Ramaiah, Thalaivasal Vijay, Rekha",Tamil,0,,,,,,,,,,,,dataset_3_tamil
