movie_id,title,imdb_id,overview,genres,director,cast,language,year,rating,votes,runtime_minutes,poster,backdrop,trailer,popularity,budget_crores,revenue_crores,production_company,release_date,source,content
,0 776724537,,0 776724537 is an engaging drama featuring compelling characters intense narratives and captivating storytelling,drama,k ganeshan,subash chandra bose,tamil,0,,,,,,,,,,,,dataset_3_tamil,drama drama k ganeshan subash chandra bose tamil 0 776724537 is an engaging drama featuring compelling characters intense narratives and captivating storytelling
527688.0,0 776724537,,,drama,k ganeshan,subash chandra bose,,2018,0.0,0.0,130.0,,,,1.2322,0.0,0.0,Unknown,18-05-2018,dataset_4,drama drama k ganeshan subash chandra bose  
,1 a m,,a horror thriller film directed by rahul starring mohan and sasvatha in the lead roles,horror,rahul paramahamsa,t mohan sasvatha,tamil,0,,,,,,,,,,,,dataset_3_tamil,horror horror rahul paramahamsa t mohan sasvatha tamil a horror thriller film directed by rahul starring mohan and sasvatha in the lead roles
573347.0,1 a m,,a horror thriller film directed by rahul starring mohan and sasvatha in the lead roles,horror,rahul paramahamsa,t mohan sasvatha,,2017,5.0,1.0,95.0,,,,0.3013,0.0,0.0,Unknown,24-03-2017,dataset_4,horror horror rahul paramahamsa t mohan sasvatha  a horror thriller film directed by rahul starring mohan and sasvatha in the lead roles
,10 endrathukulla,,a driving instructor is tasked with taking shakila an orphan from chennai to mussoorie however he falls in love with shakila and tries to save her when he learns the truth about his task,action romance,s d vijay milton,vikram samantha ruth prabhu pasupathy abhimanyu singh manobala,tamil,0,,,,,,,,,,,,dataset_3_tamil,action romance action romance s d vijay milton vikram samantha ruth prabhu pasupathy abhimanyu singh manobala tamil a driving instructor is tasked with taking shakila an orphan from chennai to mussoorie however he falls in love with shakila and tries to save her when he learns the truth about his task
330414.0,10 endrathukulla,,a driving instructor is tasked with taking shakila an orphan from chennai to mussoorie however he falls in love with shakila and tries to save her when he learns the truth about his task,action romance,s d vijay milton,vikram samantha ruth prabhu pasupathy abhimanyu singh manobala,,2015,4.5,23.0,144.0,,,,2.1721,0.0,0.0,A.R.Murugadoss Productions,21-10-2015,dataset_4,action romance action romance s d vijay milton vikram samantha ruth prabhu pasupathy abhimanyu singh manobala  a driving instructor is tasked with taking shakila an orphan from chennai to mussoorie however he falls in love with shakila and tries to save her when he learns the truth about his task
,100,,a young cop who works in a police control room tries to solve the mysterious case of a kidnapped girl,action,sam anton,atharvaa murali hansika motwani yogi babu radha ravi saravanan,tamil,0,,,,,,,,,,,,dataset_3_tamil,action action sam anton atharvaa murali hansika motwani yogi babu radha ravi saravanan tamil a young cop who works in a police control room tries to solve the mysterious case of a kidnapped girl
534963.0,100,,a young cop who works in a police control room tries to solve the mysterious case of a kidnapped girl,action,sam anton,atharvaa murali hansika motwani yogi babu radha ravi saravanan,,2019,6.545,22.0,141.0,,,,0.8408,0.0,0.0,Auraa Cinemas,10-05-2019,dataset_4,action action sam anton atharvaa murali hansika motwani yogi babu radha ravi saravanan  a young cop who works in a police control room tries to solve the mysterious case of a kidnapped girl
,100 kaadhal,,balu and mahalakshmi fall for each other but separate due to ego problems years later when their grandmother falls ill they are forced to confront each other resulting in chaos for both their families,drama romance family,m m chandramouli,g v prakash kumar shalini pandey nassar jayachitra rekha,tamil,0,,,,,,,,,,,,dataset_3_tamil,drama romance family drama romance family m m chandramouli g v prakash kumar shalini pandey nassar jayachitra rekha tamil balu and mahalakshmi fall for each other but separate due to ego problems years later when their grandmother falls ill they are forced to confront each other resulting in chaos for both their families
480852.0,100 kaadhal,,balu and mahalakshmi fall for each other but separate due to ego problems years later when their grandmother falls ill they are forced to confront each other resulting in chaos for both their families,drama romance family,m m chandramouli,g v prakash kumar shalini pandey nassar jayachitra rekha,,2019,5.3,3.0,151.0,,,,1.4885,0.0,0.0,Creation Cinemas NY,04-10-2019,dataset_4,drama romance family drama romance family m m chandramouli g v prakash kumar shalini pandey nassar jayachitra rekha  balu and mahalakshmi fall for each other but separate due to ego problems years later when their grandmother falls ill they are forced to confront each other resulting in chaos for both their families
,100 kadhal,,the guy and his cousin fall for each other but separate due to ego clashes years later when their grandmother falls ill they are forced to confront each other,comedy drama romance,m m chandramouli,g v prakash kumar shalini pandey nassar thambi ramaiah thalaivasal vijay rekha,tamil,0,,,,,,,,,,,,dataset_3_tamil,comedy drama romance comedy drama romance m m chandramouli g v prakash kumar shalini pandey nassar thambi ramaiah thalaivasal vijay rekha tamil the guy and his cousin fall for each other but separate due to ego clashes years later when their grandmother falls ill they are forced to confront each other
,1000,,manikandan who is desperately in search of money to settle his debts finds a 1000 note what happens next forms the rest of the story,crime comedy,vidhun chandragupthan,mukesh kk ramesh haresh babu bala viknesh,tamil,0,,,,,,,,,,,,dataset_3_tamil,crime comedy crime comedy vidhun chandragupthan mukesh kk ramesh haresh babu bala viknesh tamil manikandan who is desperately in search of money to settle his debts finds a 1000 note what happens next forms the rest of the story
1094441.0,1000,,manikandan who is desperately in search of money to settle his debts finds a 1000 note what happens next forms the rest of the story,crime comedy,vidhun chandragupthan,mukesh kk ramesh haresh babu bala viknesh,,2023,0.0,0.0,17.0,,,,0.5061,0.0,0.0,Kaaliwood Productions,29-06-2023,dataset_4,crime comedy crime comedy vidhun chandragupthan mukesh kk ramesh haresh babu bala viknesh  manikandan who is desperately in search of money to settle his debts finds a 1000 note what happens next forms the rest of the story
,12 12 1950,,story about five rajinikanth fans and their journey,action comedy,selva,selva thambi ramaiah john vijay m s bhaskar ramesh thilak,tamil,0,,,,,,,,,,,,dataset_3_tamil,action comedy action comedy selva selva thambi ramaiah john vijay m s bhaskar ramesh thilak tamil story about five rajinikanth fans and their journey
491664.0,12 12 1950,,story about five rajinikanth fans and their journey,action comedy,selva,selva thambi ramaiah john vijay m s bhaskar ramesh thilak,,2017,7.1,4.0,129.0,,,,0.5604,0.0,0.0,Jyostar Enterprises,08-12-2017,dataset_4,action comedy action comedy selva selva thambi ramaiah john vijay m s bhaskar ramesh thilak  story about five rajinikanth fans and their journey
,120 kmph,,jenny who works in an it company is an acquaintance of actress shruthika when jenny decided to become an actress she turned to sruthika for help shruthika promises to help him if she agrees to some conditions,drama,unknown,,tamil,0,,,,,,,,,,,,dataset_3_tamil,drama drama unknown  tamil jenny who works in an it company is an acquaintance of actress shruthika when jenny decided to become an actress she turned to sruthika for help shruthika promises to help him if she agrees to some conditions
1101209.0,120 kmph,,jenny who works in an it company is an acquaintance of actress shruthika when jenny decided to become an actress she turned to sruthika for help shruthika promises to help him if she agrees to some conditions,drama,unknown,,,2023,0.0,0.0,0.0,,,,0.2939,0.0,0.0,Unknown,23-02-2023,dataset_4,drama drama unknown   jenny who works in an it company is an acquaintance of actress shruthika when jenny decided to become an actress she turned to sruthika for help shruthika promises to help him if she agrees to some conditions
,143,,a carefree youngster moves to city for a better living upon his father s advice there he tries to win a girl s love in various ways will he succeed,family romance,rishi,rishi priyanka sharma nakshathra nagesh vijayakumar k r vijaya,tamil,0,,,,,,,,,,,,dataset_3_tamil,family romance family romance rishi rishi priyanka sharma nakshathra nagesh vijayakumar k r vijaya tamil a carefree youngster moves to city for a better living upon his father s advice there he tries to win a girl s love in various ways will he succeed
463477.0,143,,a carefree youngster moves to city for a better living upon his father s advice there he tries to win a girl s love in various ways will he succeed,family romance,rishi,rishi priyanka sharma nakshathra nagesh vijayakumar k r vijaya,,2017,5.0,1.0,117.0,,,,0.4783,0.0,0.0,Eyetalkies,26-12-2017,dataset_4,family romance family romance rishi rishi priyanka sharma nakshathra nagesh vijayakumar k r vijaya  a carefree youngster moves to city for a better living upon his father s advice there he tries to win a girl s love in various ways will he succeed
,144,,a small time thief and a car driver collude with an artist to steal the gold hoarded by a jeweller taking advantage of the curfew implemented in their village,romance comedy drama,g manikandan,shiva ashok selvan oviya helen sonu gowda munishkanth,tamil,0,,,,,,,,,,,,dataset_3_tamil,romance comedy drama romance comedy drama g manikandan shiva ashok selvan oviya helen sonu gowda munishkanth tamil a small time thief and a car driver collude with an artist to steal the gold hoarded by a jeweller taking advantage of the curfew implemented in their village
367846.0,144,,a small time thief and a car driver collude with an artist to steal the gold hoarded by a jeweller taking advantage of the curfew implemented in their village,romance comedy drama,g manikandan,shiva ashok selvan oviya helen sonu gowda munishkanth,,2015,5.2,6.0,0.0,,,,0.3605,0.0,0.0,Thirukumaran Entertainment,27-11-2015,dataset_4,romance comedy drama romance comedy drama g manikandan shiva ashok selvan oviya helen sonu gowda munishkanth  a small time thief and a car driver collude with an artist to steal the gold hoarded by a jeweller taking advantage of the curfew implemented in their village
,18 05 2009,,18 05 2009 is an engaging drama featuring compelling characters intense narratives and captivating storytelling,drama,k ganeshan,subash chandra bose dhaanya,tamil,0,,,,,,,,,,,,dataset_3_tamil,drama drama k ganeshan subash chandra bose dhaanya tamil 18 05 2009 is an engaging drama featuring compelling characters intense narratives and captivating storytelling
,181,,an aspiring film director along with his wife goes to a resort to write a story when he begins writing the story some paranormal force prevents him from penning the story what is the mystic force can he saves himself and his wife,horror,mohamad issack,gemini ryker rheena krishnan kaviya amaira vijay chandru yuva thameem,tamil,0,,,,,,,,,,,,dataset_3_tamil,horror horror mohamad issack gemini ryker rheena krishnan kaviya amaira vijay chandru yuva thameem tamil an aspiring film director along with his wife goes to a resort to write a story when he begins writing the story some paranormal force prevents him from penning the story what is the mystic force can he saves himself and his wife
